OBJECTID,StopNumber,Latitude,Longitude,Route,Effective Date,x,y
74,48,43.615314,-79.680446,43,2025/09/01,-79.6804459999999,43.6153140000001
75,49,43.576887,-79.783746,39,2025/09/01,-79.783746,43.5768870000001
76,50,43.633638,-79.641318,39,2025/09/01,-79.641318,43.6336380000001
77,50,43.633638,-79.641318,43,2025/09/01,-79.641318,43.6336380000001
78,51,43.626301,-79.655306,39,2025/09/01,-79.6553059999999,43.6263010000001
79,51,43.626301,-79.655306,43,2025/09/01,-79.6553059999999,43.6263010000001
80,52,43.62472,-79.657681,43,2025/09/01,-79.657681,43.62472
81,53,43.613012,-79.684585,43,2025/09/01,-79.684585,43.613012
82,54,43.590026,-79.720153,10,2025/09/01,-79.720153,43.5900260000001
83,54,43.590026,-79.720153,39,2025/09/01,-79.720153,43.5900260000001
84,54,43.590026,-79.720153,43,2025/09/01,-79.720153,43.5900260000001
85,54,43.590026,-79.720153,306,2025/09/01,-79.720153,43.5900260000001
86,57,43.561061,-79.712595,9,2025/09/01,-79.712595,43.561061
87,57,43.561061,-79.712595,48,2025/09/01,-79.712595,43.561061
88,58,43.560682,-79.713187,9,2025/09/01,-79.7131869999999,43.560682
89,58,43.560682,-79.713187,13,2025/09/01,-79.7131869999999,43.560682
90,58,43.560682,-79.713187,48,2025/09/01,-79.7131869999999,43.560682
91,59,43.591651,-79.626864,3,2025/09/01,-79.626864,43.5916510000001
92,59,43.591651,-79.626864,53,2025/09/01,-79.626864,43.5916510000001
93,62,43.611995,-79.749617,108,2025/09/01,-79.7496169999999,43.611995
94,63,43.617673,-79.681237,25,2025/09/01,-79.681237,43.617673
95,63,43.617673,-79.681237,70,2025/09/01,-79.681237,43.617673
96,64,43.620104,-79.685063,25,2025/09/01,-79.685063,43.620104
97,64,43.620104,-79.685063,70,2025/09/01,-79.685063,43.620104
98,66,43.59121,-79.63064,3,2025/09/01,-79.63064,43.5912100000001
99,66,43.59121,-79.63064,8,2025/09/01,-79.63064,43.5912100000001
100,67,43.590385,-79.720169,10,2025/09/01,-79.7201689999999,43.590385
101,67,43.590385,-79.720169,39,2025/09/01,-79.7201689999999,43.590385
102,67,43.590385,-79.720169,43,2025/09/01,-79.7201689999999,43.590385
103,67,43.590385,-79.720169,306,2025/09/01,-79.7201689999999,43.590385
104,68,43.591816,-79.629375,3,2025/09/01,-79.629375,43.591816
105,68,43.591816,-79.629375,8,2025/09/01,-79.629375,43.591816
106,69,43.591134,-79.6311,3,2025/09/01,-79.6310999999999,43.5911340000001
107,69,43.591134,-79.6311,8,2025/09/01,-79.6310999999999,43.5911340000001
108,70,43.589207,-79.633337,3,2025/09/01,-79.633337,43.589207
109,70,43.589207,-79.633337,8,2025/09/01,-79.633337,43.589207
110,71,43.573831,-79.61408,28,2025/09/01,-79.6140799999999,43.573831
111,72,43.575693,-79.749019,10,2025/09/01,-79.749019,43.5756930000001
112,72,43.575693,-79.749019,313,2025/09/01,-79.749019,43.5756930000001
113,73,43.574233,-79.75134,10,2025/09/01,-79.75134,43.574233
114,73,43.574233,-79.75134,313,2025/09/01,-79.75134,43.574233
115,74,43.590791,-79.637042,3,2025/09/01,-79.6370419999999,43.5907910000001
116,74,43.590791,-79.637042,8,2025/09/01,-79.6370419999999,43.5907910000001
117,75,43.589811,-79.635664,3,2025/09/01,-79.635664,43.5898110000001
118,75,43.589811,-79.635664,8,2025/09/01,-79.635664,43.5898110000001
119,76,43.589612,-79.632572,3,2025/09/01,-79.632572,43.589612
120,76,43.589612,-79.632572,8,2025/09/01,-79.632572,43.589612
121,78,43.592219,-79.628437,3,2025/09/01,-79.628437,43.592219
122,79,43.652246,-79.614795,7,2025/09/01,-79.614795,43.652246
123,79,43.652246,-79.614795,39,2025/09/01,-79.614795,43.652246
124,79,43.652246,-79.614795,43,2025/09/01,-79.614795,43.652246
125,80,43.631824,-79.644767,39,2025/09/01,-79.6447669999999,43.631824
126,80,43.631824,-79.644767,43,2025/09/01,-79.6447669999999,43.631824
127,81,43.571236,-79.778176,39,2025/09/01,-79.778176,43.571236
128,82,43.576122,-79.782907,39,2025/09/01,-79.782907,43.576122
129,83,43.573771,-79.780317,39,2025/09/01,-79.780317,43.5737710000001
130,85,43.593731,-79.647476,26,2025/09/01,-79.647476,43.593731
131,85,43.593731,-79.647476,110,2025/09/01,-79.647476,43.593731
132,87,43.623801,-79.711618,61,2025/09/01,-79.711618,43.6238010000001
133,88,43.57023,-79.777565,39,2025/09/01,-79.777565,43.57023
134,91,43.581178,-79.779077,39,2025/09/01,-79.779077,43.5811780000001
135,92,43.584007,-79.775987,39,2025/09/01,-79.775987,43.584007
136,92,43.584007,-79.775987,90,2025/09/01,-79.775987,43.584007
137,93,43.584867,-79.766725,38,2025/09/01,-79.766725,43.584867
138,93,43.584867,-79.766725,39,2025/09/01,-79.766725,43.584867
139,93,43.584867,-79.766725,43,2025/09/01,-79.766725,43.584867
140,93,43.584867,-79.766725,90,2025/09/01,-79.766725,43.584867
141,94,43.571842,-79.754993,10,2025/09/01,-79.754993,43.5718420000001
142,94,43.571842,-79.754993,313,2025/09/01,-79.754993,43.5718420000001
143,95,43.63565,-79.691803,17,2025/09/01,-79.6918029999999,43.63565
144,96,43.637836,-79.694768,17,2025/09/01,-79.6947679999999,43.637836
145,96,43.637836,-79.694768,103,2025/09/01,-79.6947679999999,43.637836
146,97,43.637239,-79.69457,17,2025/09/01,-79.6945699999999,43.6372390000001
147,97,43.637239,-79.69457,103,2025/09/01,-79.6945699999999,43.6372390000001
148,98,43.634871,-79.691398,17,2025/09/01,-79.6913979999999,43.634871
149,99,43.615147,-79.748821,108,2025/09/01,-79.748821,43.615147
150,100,43.512562,-79.633058,110,2025/09/01,-79.6330579999999,43.5125620000001
151,101,43.512818,-79.632805,13,2025/09/01,-79.632805,43.512818
152,103,43.521719,-79.644571,13,2025/09/01,-79.644571,43.5217190000001
153,103,43.521719,-79.644571,29,2025/09/01,-79.644571,43.5217190000001
154,103,43.521719,-79.644571,45,2025/09/01,-79.644571,43.5217190000001
155,104,43.518647,-79.640408,13,2025/09/01,-79.640408,43.518647
156,104,43.518647,-79.640408,14,2025/09/01,-79.640408,43.518647
157,104,43.518647,-79.640408,45,2025/09/01,-79.640408,43.518647
158,104,43.518647,-79.640408,110,2025/09/01,-79.640408,43.518647
159,105,43.516098,-79.636848,13,2025/09/01,-79.636848,43.5160980000001
160,105,43.516098,-79.636848,14,2025/09/01,-79.636848,43.5160980000001
161,105,43.516098,-79.636848,45,2025/09/01,-79.636848,43.5160980000001
162,106,43.51441,-79.634607,13,2025/09/01,-79.634607,43.5144100000001
163,106,43.51441,-79.634607,14,2025/09/01,-79.634607,43.5144100000001
164,106,43.51441,-79.634607,29,2025/09/01,-79.634607,43.5144100000001
165,106,43.51441,-79.634607,45,2025/09/01,-79.634607,43.5144100000001
166,106,43.51441,-79.634607,110,2025/09/01,-79.634607,43.5144100000001
167,108,43.512203,-79.637785,29,2025/09/01,-79.637785,43.512203
168,109,43.509354,-79.639668,29,2025/09/01,-79.639668,43.509354
169,110,43.507697,-79.643466,29,2025/09/01,-79.643466,43.5076970000001
170,111,43.506006,-79.645174,29,2025/09/01,-79.6451739999999,43.5060060000001
171,112,43.504546,-79.646592,29,2025/09/01,-79.6465919999999,43.5045460000001
172,113,43.501793,-79.649783,29,2025/09/01,-79.649783,43.5017930000001
173,114,43.503921,-79.656118,29,2025/09/01,-79.6561179999999,43.503921
174,114,43.503921,-79.656118,45,2025/09/01,-79.6561179999999,43.503921
175,115,43.508683,-79.642318,29,2025/09/01,-79.642318,43.5086830000001
176,116,43.508275,-79.653535,29,2025/09/01,-79.653535,43.508275
177,117,43.509486,-79.650106,29,2025/09/01,-79.6501059999999,43.509486
178,118,43.511556,-79.648476,29,2025/09/01,-79.648476,43.511556
179,119,43.513141,-79.646251,29,2025/09/01,-79.646251,43.5131410000001
180,120,43.515299,-79.643872,29,2025/09/01,-79.643872,43.515299
181,121,43.518529,-79.641949,29,2025/09/01,-79.641949,43.5185290000001
182,122,43.518571,-79.641676,29,2025/09/01,-79.641676,43.5185710000001
183,123,43.51502,-79.643892,29,2025/09/01,-79.6438919999999,43.51502
184,124,43.512257,-79.64684,29,2025/09/01,-79.6468399999999,43.512257
185,125,43.509034,-79.650661,29,2025/09/01,-79.650661,43.509034
186,126,43.511151,-79.64851,29,2025/09/01,-79.64851,43.511151
187,127,43.508104,-79.653502,29,2025/09/01,-79.6535019999999,43.5081040000001
188,128,43.505701,-79.65744,29,2025/09/01,-79.6574399999999,43.505701
189,129,43.502944,-79.654303,29,2025/09/01,-79.654303,43.5029440000001
190,129,43.502944,-79.654303,45,2025/09/01,-79.654303,43.5029440000001
191,130,43.502045,-79.649777,29,2025/09/01,-79.649777,43.5020450000001
192,131,43.504771,-79.646506,29,2025/09/01,-79.646506,43.5047710000001
193,132,43.506623,-79.644801,29,2025/09/01,-79.644801,43.506623
194,133,43.508888,-79.642177,29,2025/09/01,-79.6421769999999,43.5088880000001
195,135,43.512492,-79.637803,29,2025/09/01,-79.637803,43.5124920000001
196,136,43.514407,-79.63609,29,2025/09/01,-79.63609,43.514407
197,137,43.50581,-79.657573,29,2025/09/01,-79.657573,43.50581
198,138,43.507508,-79.655705,29,2025/09/01,-79.6557049999999,43.507508
199,139,43.512961,-79.633382,23,2025/09/01,-79.633382,43.5129610000001
200,141,43.509649,-79.639537,29,2025/09/01,-79.639537,43.5096490000001
201,142,43.500844,-79.651053,29,2025/09/01,-79.6510529999999,43.500844
202,143,43.503096,-79.654949,29,2025/09/01,-79.654949,43.503096
203,143,43.503096,-79.654949,45,2025/09/01,-79.654949,43.503096
204,144,43.50537,-79.657632,29,2025/09/01,-79.657632,43.50537
205,144,43.50537,-79.657632,45,2025/09/01,-79.657632,43.50537
206,146,43.543509,-79.691779,13,2025/09/01,-79.6917789999999,43.543509
207,147,43.545891,-79.695534,13,2025/09/01,-79.695534,43.545891
208,148,43.54727,-79.699237,13,2025/09/01,-79.699237,43.54727
209,149,43.570863,-79.627636,1,2025/09/01,-79.6276359999999,43.570863
210,149,43.570863,-79.627636,38,2025/09/01,-79.6276359999999,43.570863
211,150,43.504144,-79.656002,29,2025/09/01,-79.6560019999999,43.504144
212,150,43.504144,-79.656002,45,2025/09/01,-79.6560019999999,43.504144
213,153,43.558326,-79.718264,13,2025/09/01,-79.718264,43.5583260000001
214,154,43.560325,-79.720711,13,2025/09/01,-79.7207109999999,43.560325
