FID,SEG_ID,ST_NAME_ID,STNAME,SUFFIX,DIRECTION,FULLNAME,FROMLEFT,TOLEFT,FROMRIGHT,TORIGHT,ONEWAY,TYPE,STATUS,OWNER,FROM_ELEV,TO_ELEV,SEG_LENGTH,NODE_FROM,NODE_TO,CRTDT_GIS,UPDDT_GIS,Shape__Length
1,366746,4089,LAKESHORE,RD,W,LAKESHORE RD W,,,,,0,ART,OPEN,MISS,0,1,118.5154030158,349478,349431,9/9/2002 3:42:38 PM,8/19/2025 11:44:44 AM,163.487847899637
2,362990,5395,WINSTON CHURCHILL,BLVD, ,WINSTON CHURCHILL BLVD,,,1061,1061,0,ART,OPEN,PEEL,0,0,225.2170103369,348261,348158,,8/19/2025 11:44:22 AM,310.5979303881
3,360196,4973,SOUTHDOWN,RD, ,SOUTHDOWN RD,,,,,0,ART,OPEN,MISS,0,0,92.0227127986,350014,349961,,8/19/2025 11:52:26 AM,126.94766774033
4,361330,5359,WIDEMARR,RD, ,WIDEMARR RD,2652,2698,2657,2699,0,LOCAL,OPEN,MISS,0,0,126.0743436665,348093,348039,,8/19/2025 11:43:30 AM,173.985447865612
5,374444,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,85.3170844486,374442,348002,3/3/2003 2:44:00 PM,8/19/2025 11:49:42 AM,117.756693914324
6,360199,3040,BROMSGROVE,RD, ,BROMSGROVE RD,2662,2662,,,0,MNRCOL,OPEN,MISS,0,0,106.0335641645,374434,347931,,8/19/2025 11:46:43 AM,146.261078870845
7,362992,5395,WINSTON CHURCHILL,BLVD, ,WINSTON CHURCHILL BLVD,,,,,0,ART,OPEN,PEEL,0,0,385.6592857044,347931,347711,,8/19/2025 11:54:59 AM,531.917492276714
8,374443,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,22.6700714159,348027,374442,3/3/2003 2:44:00 PM,8/19/2025 11:47:09 AM,31.2863302569897
9,374451,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,79.4783518461,374446,374450,3/3/2003 2:47:40 PM,8/19/2025 11:27:42 AM,109.571491985331
10,374435,3040,BROMSGROVE,RD, ,BROMSGROVE RD,2688,2688,2687,2687,0,MNRCOL,OPEN,MISS,0,0,87.7959105483,348038,374434,3/3/2003 2:15:02 PM,8/19/2025 11:33:38 AM,121.173232330883
11,354965,3324,CRAMER,ST, ,CRAMER ST,1192,1198,1193,1199,0,LOCAL,OPEN,MISS,0,0,100.2874154816,348093,348038,,8/19/2025 11:49:40 AM,138.292243297479
12,374449,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,20.5011421653,374448,374446,3/3/2003 2:47:18 PM,8/19/2025 11:45:03 AM,28.2850763227791
13,354966,3324,CRAMER,ST, ,CRAMER ST,1216,1224,1217,1225,0,LOCAL,OPEN,MISS,0,0,99.1486521575,348038,347973,,8/19/2025 11:51:22 AM,136.656852915424
14,361335,3040,BROMSGROVE,RD,,BROMSGROVE RD,2590,2640,2573,2633,0,MNRCOL,OPEN,MISS,0,0,244.8673065149,348137,348038,,8/19/2025 11:41:40 AM,337.87137332407
15,361324,4186,LUNDENE,RD, ,LUNDENE RD,2662,2730,2645,2683,0,LOCAL,OPEN,MISS,0,0,178.4738920438,347973,347865,,8/19/2025 11:35:55 AM,246.194789854909
16,354958,4912,SHERHILL,DR, ,SHERHILL DR,2592,2688,2565,2705,0,LOCAL,OPEN,MISS,0,0,415.0616732072,348073,347865,,8/19/2025 11:45:25 AM,572.650891111815
17,361323,4186,LUNDENE,RD, ,LUNDENE RD,2588,2650,2593,2643,0,LOCAL,OPEN,MISS,0,0,220.9921420601,348073,347973,,8/19/2025 11:46:37 AM,304.949857966726
18,354967,5096,TALLBERG,CRT, ,TALLBERG CRT,2756,2800,2765,2795,0,LOCAL,OPEN,MISS,0,0,117.5992476852,347840,347796,,8/19/2025 11:28:32 AM,162.35229101842
19,354969,5029,STOCKHOLM,RD, ,STOCKHOLM RD,2692,2702,,,0,LOCAL,OPEN,MISS,0,0,74.5985537997,347740,347711,,8/19/2025 11:53:52 AM,102.93058387167
20,362993,5395,WINSTON CHURCHILL,BLVD, ,WINSTON CHURCHILL BLVD,,,,,0,ART,OPEN,PEEL,0,0,373.4473104388,347711,347519,,8/19/2025 11:53:37 AM,515.098552289536
21,354968,5029,STOCKHOLM,RD, ,STOCKHOLM RD,2678,2688,2671,2671,0,LOCAL,OPEN,MISS,0,0,93.5922378046,347780,347740,,8/19/2025 11:42:07 AM,129.137648092666
22,354971,3070,BUSHLAND,CRES, ,BUSHLAND CRES,2800,2840,2789,2839,0,LOCAL,OPEN,MISS,0,0,180.2070814868,347654,347740,,8/19/2025 11:46:30 AM,248.559525701963
23,354983,3040,BROMSGROVE,RD,,BROMSGROVE RD,0,0,2563,2569,0,MNRCOL,OPEN,MISS,0,0,62.976281956,348170,348137,,8/19/2025 11:52:35 AM,86.8682726773145
24,361328,3279,CONSTABLE,RD, ,CONSTABLE RD,2784,2796,2783,2801,0,LOCAL,OPEN,MISS,0,0,77.0383402881,347840,347892,,8/19/2025 11:36:34 AM,106.269430192552
25,354964,3279,CONSTABLE,RD, ,CONSTABLE RD,,,2755,2761,0,LOCAL,OPEN,MISS,0,0,78.6020033457,347780,347840,,8/19/2025 11:35:17 AM,108.345584814211
26,354957,4186,LUNDENE,RD, ,LUNDENE RD,2560,2584,2559,2581,0,LOCAL,OPEN,MISS,0,0,99.9485735166,348121,348073,,8/19/2025 11:57:04 AM,137.867383274181
27,354959,3279,CONSTABLE,RD, ,CONSTABLE RD,2924,2942,2931,2941,0,LOCAL,OPEN,MISS,0,0,99.4189060601,348121,348170,,8/19/2025 11:36:26 AM,137.09580106576
28,361327,3279,CONSTABLE,RD, ,CONSTABLE RD,2670,2760,2659,2739,0,LOCAL,OPEN,MISS,0,0,267.3581639146,347828,347780,,8/19/2025 11:26:33 AM,368.903278948348
29,361325,3279,CONSTABLE,RD, ,CONSTABLE RD,2816,2820,2807,2833,0,LOCAL,OPEN,MISS,0,0,97.6129387501,347892,347943,,8/19/2025 11:36:55 AM,134.66959901763
30,354955,3798,HALKIRK,CRT, ,HALKIRK CRT,1322,1336,1317,1333,0,LOCAL,OPEN,MISS,0,0,72.969538254,347892,347834,,8/19/2025 11:39:09 AM,100.648291339041
31,361322,4865,SEAVIEW,DR, ,SEAVIEW DR,1448,1526,1457,1529,0,LOCAL,OPEN,MISS,0,0,291.8824775231,347774,347654,,8/19/2025 11:53:49 AM,402.762892158832
32,361326,3279,CONSTABLE,RD, ,CONSTABLE RD,2840,2920,2839,2903,0,LOCAL,OPEN,MISS,0,0,260.926876037,347943,348121,,8/19/2025 11:37:09 AM,359.549357495049
33,354973,4604,PLAYFORD,RD, ,PLAYFORD RD,1204,1226,1205,1213,0,LOCAL,OPEN,MISS,0,0,93.0328162532,348199,348168,,8/19/2025 11:56:49 AM,128.29178816982
34,360201,4874,SELORD,CRT, ,SELORD CRT,2488,2542,2487,2541,0,LOCAL,OPEN,MISS,0,0,163.6368398502,348168,348160,,8/19/2025 11:47:13 AM,225.798814091763
35,362994,5395,WINSTON CHURCHILL,BLVD, ,WINSTON CHURCHILL BLVD,,,,,0,ART,OPEN,PEEL,0,0,308.6520384916,347519,347388,,8/19/2025 11:46:21 AM,425.736232051579
36,360230,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,276.7899681912,348424,348332,,8/19/2025 11:47:54 AM,382.084625955364
37,360780,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,58.9689330561,348361,348332,,8/19/2025 11:51:37 AM,81.3793512387085
38,355013,4492,ORR,RD, ,ORR RD,,,2019,2019,0,MNRCOL,OPEN,MISS,0,0,351.6870428108,349605,349486,,8/19/2025 11:34:20 AM,485.297895939749
39,352681,4973,SOUTHDOWN,RD, ,SOUTHDOWN RD,722,844,733,733,0,ART,OPEN,MISS,0,0,438.7429307248,349486,349267,,8/19/2025 11:38:55 AM,605.207061805095
40,351929,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,102.8980789422,348385,348361,,8/19/2025 11:36:32 AM,142.102431687193
41,351930,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,103.6041187642,348361,348309,,8/19/2025 11:34:47 AM,142.90274339303
42,354963,3279,CONSTABLE,RD, ,CONSTABLE RD,2606,2642,2611,2653,0,LOCAL,OPEN,MISS,0,0,171.3973164694,347939,347828,,8/19/2025 11:35:53 AM,236.386794923508
43,361333,3040,BROMSGROVE,RD,,BROMSGROVE RD,2440,2440,2451,2451,0,MNRCOL,OPEN,MISS,0,0,131.6738938971,348322,348280,,8/19/2025 11:36:58 AM,181.725255060012
44,354975,5184,TREDMORE,DR, ,TREDMORE DR,1210,1244,1215,1233,0,LOCAL,OPEN,MISS,0,0,133.6979091812,348280,348203,,8/19/2025 11:57:03 AM,184.349339270889
45,377754,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,32.1379192883,348424,377753,4/3/2003 2:37:04 PM,8/19/2025 11:28:58 AM,44.2755702359975
46,360229,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,57.2200501015,348385,348424,,8/19/2025 11:28:12 AM,78.8292608472171
47,354954,4865,SEAVIEW,DR, ,SEAVIEW DR,1414,1440,1435,1435,0,LOCAL,OPEN,MISS,0,0,96.4959379093,347836,347774,,8/19/2025 11:42:20 AM,133.076067895195
48,355015,3529,EMBASSY,AVE, ,EMBASSY AVE,762,762,,,0,LOCAL,OPEN,MISS,0,0,53.4138246609,349475,349453,,8/19/2025 11:29:05 AM,73.675323599125
49,354933,3041,BROOKHURST,RD, ,BROOKHURST RD,2494,2512,2497,2511,0,LOCAL,OPEN,MISS,0,0,99.3750018469,348248,348203,,8/19/2025 11:34:45 AM,137.108008225719
50,354976,5184,TREDMORE,DR, ,TREDMORE DR,1250,1268,1257,1281,0,LOCAL,OPEN,MISS,0,0,118.3875729331,348203,348155,,8/19/2025 11:53:04 AM,163.301108149663
51,370866,4274,MEADOW WOOD,LANE, ,MEADOW WOOD LANE,332,376,,,0,LOCAL,OPEN,PRIV,0,0,138.4364663663,350508,370865,11/27/2002 10:00:30 AM,8/19/2025 11:37:41 AM,190.964881390587
52,361196,5299,WATERSEDGE,RD, ,WATERSEDGE RD,1636,1636,1629,1633,0,LOCAL,OPEN,MISS,0,0,91.9012706818,350500,350508,,8/19/2025 11:27:37 AM,126.928017021443
53,354972,3818,HARMAN,CRT, ,HARMAN CRT,2466,2524,2467,2523,0,LOCAL,OPEN,MISS,0,0,164.3149751544,348115,348041,,8/19/2025 11:33:09 AM,226.744603823131
54,354962,3279,CONSTABLE,RD, ,CONSTABLE RD,2574,2604,,,0,LOCAL,OPEN,MISS,0,0,101.0535977093,347993,347939,,8/19/2025 11:42:18 AM,139.441549571494
55,354953,4865,SEAVIEW,DR, ,SEAVIEW DR,1400,1412,1363,1395,0,LOCAL,OPEN,MISS,0,0,149.4896638775,347939,347836,,8/19/2025 11:57:29 AM,206.136260942102
56,354939,2881,BANWELL,RD, ,BANWELL RD,1502,1534,1501,1533,0,LOCAL,OPEN,MISS,0,0,138.8588302018,347541,347479,,8/19/2025 11:54:30 AM,191.540858049406
57,354938,4830,SANDGATE,CRES, ,SANDGATE CRES,,,1855,1879,0,LOCAL,OPEN,MISS,0,0,100.3625589999,347541,347592,,8/19/2025 11:46:59 AM,138.491239006447
58,361318,4830,SANDGATE,CRES, ,SANDGATE CRES,1782,1814,1745,1853,0,LOCAL,OPEN,MISS,0,0,318.1864754056,347479,347541,,8/19/2025 11:27:34 AM,438.973269040614
59,354981,3040,BROMSGROVE,RD, ,BROMSGROVE RD,,,,,0,MNRCOL,OPEN,MISS,0,0,60.697055777,348345,348322,,8/19/2025 11:44:36 AM,83.7585771143713
60,355014,3134,CARRERA,LANE, ,CARRERA LANE,1944,2012,1949,2013,0,LOCAL,OPEN,MISS,0,0,269.8491139469,349552,349453,,8/19/2025 11:51:01 AM,372.379186168484
61,355016,3529,EMBASSY,AVE, ,EMBASSY AVE,764,794,,,0,LOCAL,OPEN,MISS,0,0,96.417994907,349453,349395,,8/19/2025 11:32:36 AM,132.97199328129
62,354946,2932,BENEDET,DR, ,BENEDET DR,,,,,0,LOCAL,OPEN,MISS,0,0,92.24769602,347427,347388,,8/19/2025 11:36:11 AM,127.297426856792
63,362995,5395,WINSTON CHURCHILL,BLVD, ,WINSTON CHURCHILL BLVD,,,,,0,ART,OPEN,PEEL,0,0,158.1621757469,347388,347315,,8/19/2025 11:46:19 AM,218.168987515624
64,361321,3048,BUCKBY,RD, ,BUCKBY RD,1400,1428,1399,1415,0,LOCAL,OPEN,MISS,0,0,128.1701916963,347836,347767,,8/19/2025 11:32:38 AM,176.881683758355
65,354940,4149,LOCKHART,RD, ,LOCKHART RD,,,1481,1493,0,LOCAL,OPEN,MISS,0,0,95.5741375059,347648,347592,,8/19/2025 11:35:34 AM,131.781368547947
66,354980,3040,BROMSGROVE,RD, ,BROMSGROVE RD,2380,2380,2395,2395,0,MNRCOL,OPEN,MISS,0,0,56.4119769553,348369,348345,,8/19/2025 11:33:54 AM,77.8457768159892
67,354977,5184,TREDMORE,DR, ,TREDMORE DR,1296,1296,1287,1311,0,LOCAL,OPEN,MISS,0,0,95.4541731957,348155,348115,,8/19/2025 11:43:15 AM,131.664413323984
68,355017,3529,EMBASSY,AVE, ,EMBASSY AVE,798,828,,,0,LOCAL,OPEN,MISS,0,0,98.2130666765,349395,349358,,8/19/2025 11:42:46 AM,135.481096413775
69,354986,4936,SILVERBERRY,CRES, ,SILVERBERRY CRES,1854,2012,1853,2013,0,LOCAL,OPEN,MISS,0,0,469.6756169699,349395,349358,,8/19/2025 11:38:15 AM,648.07174986787
70,362730,4751,ROCK,CRT, ,ROCK CRT,1364,1386,1363,1385,0,LOCAL,OPEN,MISS,0,0,57.9666943062,347993,347950,,8/19/2025 11:38:48 AM,79.9218276997463
71,354961,3279,CONSTABLE,RD, ,CONSTABLE RD,2532,2570,2523,2553,0,LOCAL,OPEN,MISS,0,0,137.3810468187,348069,347993,,8/19/2025 11:47:34 AM,189.569318308678
72,370877,3316,COUNTRY CLUB,CRES, ,COUNTRY CLUB CRES,354,374,,,0,LOCAL,OPEN,MISS,0,0,85.9765214779,350500,370876,11/27/2002 11:12:15 AM,8/19/2025 11:40:57 AM,118.582347094025
73,370872,5299,WATERSEDGE,RD, ,WATERSEDGE RD,1612,1624,1619,1619,0,LOCAL,OPEN,MISS,0,0,95.3328743488,370871,350500,11/27/2002 10:15:18 AM,8/19/2025 11:40:22 AM,131.706702152392
74,354945,2932,BENEDET,DR, ,BENEDET DR,,,2605,2665,0,LOCAL,OPEN,MISS,0,0,249.2479924539,347514,347427,,8/19/2025 11:57:16 AM,343.950934802801
75,354948,2947,BIRCH,CRES, ,BIRCH CRES,2522,2716,2531,2717,0,LOCAL,OPEN,MISS,0,0,586.9550803979,347581,347427,,8/19/2025 11:53:04 AM,809.95533702645
76,377759,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,27.1242566718,377755,377758,4/3/2003 2:47:04 PM,8/19/2025 11:27:08 AM,37.3700484467597
77,354979,3040,BROMSGROVE,RD, ,BROMSGROVE RD,,,,,0,MNRCOL,OPEN,MISS,0,0,61.6764528325,348401,348369,,8/19/2025 11:45:41 AM,85.1121231921162
78,354937,4830,SANDGATE,CRES, ,SANDGATE CRES,,,1713,1743,0,LOCAL,OPEN,MISS,0,0,94.6682708239,347516,347479,,8/19/2025 11:53:26 AM,130.63655438142
79,354805,5206,TRUSCOTT,DR, ,TRUSCOTT DR,2528,2620,2545,2627,0,MJRCOL,OPEN,MISS,0,0,297.3667818022,348004,347767,,8/19/2025 11:39:05 AM,409.735717859581
80,354978,5184,TREDMORE,DR, ,TREDMORE DR,,,1317,1327,0,LOCAL,OPEN,MISS,0,0,94.6341545585,348115,348069,,8/19/2025 11:35:43 AM,130.486510269004
81,355012,4492,ORR,RD, ,ORR RD,,,1901,1901,0,MNRCOL,OPEN,MISS,0,0,108.5066637216,349656,349605,,8/19/2025 11:29:00 AM,149.735175096453
82,370878,3316,COUNTRY CLUB,CRES, ,COUNTRY CLUB CRES,380,424,393,415,0,LOCAL,OPEN,MISS,0,0,158.5838784007,370876,350390,11/27/2002 11:12:15 AM,8/19/2025 11:35:37 AM,218.788510557309
83,403340,3316,COUNTRY CLUB,CRES, ,COUNTRY CLUB CRES,,,,,0,LOCAL,OPEN,MISS,0,0,60.9544674166,370871,370876,3/9/2004 8:42:32 AM,8/19/2025 11:31:29 AM,84.0573468068953
84,355018,3529,EMBASSY,AVE, ,EMBASSY AVE,830,856,,,0,LOCAL,OPEN,MISS,0,0,99.6879793807,349358,349309,,8/19/2025 11:46:18 AM,137.518144537814
85,361332,3040,BROMSGROVE,RD, ,BROMSGROVE RD,,,,,0,MNRCOL,OPEN,MISS,0,0,66.7558599003,348436,348401,,8/19/2025 11:38:15 AM,92.0862373523132
86,355020,2979,BONNYMEDE,DR, ,BONNYMEDE DR,,,,,0,LOCAL,OPEN,MISS,0,0,70.4975515178,349309,349267,,8/19/2025 11:45:54 AM,97.2390135594218
87,352682,4973,SOUTHDOWN,RD, ,SOUTHDOWN RD,884,920,913,933,0,ART,OPEN,MISS,0,0,257.1556234224,349267,349152,,8/19/2025 11:40:26 AM,354.74688889754
88,370873,5299,WATERSEDGE,RD, ,WATERSEDGE RD,1524,1606,1527,1615,0,LOCAL,OPEN,MISS,0,0,307.857598587,350517,370871,11/27/2002 10:16:38 AM,8/19/2025 11:52:28 AM,425.195893313935
89,354936,4830,SANDGATE,CRES, ,SANDGATE CRES,1700,1700,1689,1709,0,LOCAL,OPEN,MISS,0,0,84.2041560063,347555,347516,,8/19/2025 11:29:00 AM,116.1962979895
90,354960,3279,CONSTABLE,RD, ,CONSTABLE RD,2506,2520,2503,2517,0,LOCAL,OPEN,MISS,0,0,104.0184669009,348107,348069,,8/19/2025 11:45:43 AM,143.524363526332
91,362509,3040,BROMSGROVE,RD, ,BROMSGROVE RD,2340,2340,2315,2315,0,MNRCOL,OPEN,MISS,0,0,118.7504718455,348523,348436,,8/19/2025 11:45:39 AM,163.5605347539
92,359418,4863,SEAGULL,DR, ,SEAGULL DR,1204,1216,,,0,LOCAL,OPEN,MISS,0,0,53.045842992,348436,348409,,8/19/2025 11:32:50 AM,73.2291238407608
93,354952,3180,CHALKWELL CLOSE, , ,CHALKWELL CLOSE,2598,2620,2603,2617,0,LOCAL,OPEN,MISS,0,0,80.1761079437,347776,347729,,8/19/2025 11:42:31 AM,110.457140279495
94,355019,2979,BONNYMEDE,DR, ,BONNYMEDE DR,1944,2012,1945,2001,0,LOCAL,OPEN,MISS,0,0,243.3357070322,349391,349309,,8/19/2025 11:36:41 AM,335.887290509366
95,355011,4492,ORR,RD, ,ORR RD,,,1859,1879,0,MNRCOL,OPEN,MISS,0,0,145.561071403,349717,349656,,8/19/2025 11:56:09 AM,200.868387479918
96,361331,3040,BROMSGROVE,RD, ,BROMSGROVE RD,,,,,0,MNRCOL,OPEN,MISS,0,0,11.8419704887,348536,348523,,8/19/2025 11:35:14 AM,16.3068733325638
97,355021,3133,CARRERA,CRT, ,CARRERA CRT,1880,1928,1879,1925,0,LOCAL,OPEN,MISS,0,0,96.2963103112,349578,349552,,8/19/2025 11:37:11 AM,132.901305280166
98,355023,3951,INVERHOUSE,DR, ,INVERHOUSE DR,772,800,777,795,0,LOCAL,OPEN,MISS,0,0,111.2546609086,349552,349508,,8/19/2025 11:27:01 AM,153.478183506191
99,362497,3180,CHALKWELL CLOSE, , ,CHALKWELL CLOSE,2538,2594,2539,2579,0,LOCAL,OPEN,MISS,0,0,208.2424691154,347947,347776,,8/19/2025 11:28:11 AM,286.925978399085
100,354950,4000,KARENZA,RD, ,KARENZA RD,1466,1502,1457,1493,0,LOCAL,OPEN,MISS,0,0,171.5892876308,347776,347700,,8/19/2025 11:33:04 AM,236.725714986439
101,359511,7019,VEY,RD, ,VEY RD,,,,,0,LOCAL,OPEN,MISS,0,0,73.969165603,347555,347514,,8/19/2025 11:55:41 AM,101.994318181811
102,360247,4830,SANDGATE,CRES, ,SANDGATE CRES,1620,1650,1601,1655,0,LOCAL,OPEN,MISS,0,0,244.6986203126,347652,347555,,8/19/2025 11:40:47 AM,337.628632489437
103,359419,4863,SEAGULL,DR, ,SEAGULL DR,,,,,0,LOCAL,OPEN,MISS,0,0,81.9087970024,348409,348367,,8/19/2025 11:31:41 AM,112.990314798935
104,352648,4799,ROYAL WINDSOR,DR,,ROYAL WINDSOR DR,0,0,2057,2133,0,ART,OPEN,MISS,0,0,268.7260152774,349075,348986,,8/19/2025 11:55:51 AM,370.845342523072
105,361316,4830,SANDGATE,CRES, ,SANDGATE CRES,1396,1408,1399,1415,0,LOCAL,OPEN,MISS,0,0,96.9492379561,348004,347947,,8/19/2025 11:40:14 AM,133.750678047074
106,361275,5206,TRUSCOTT,DR, ,TRUSCOTT DR,2504,2524,2501,2517,0,MJRCOL,OPEN,MISS,0,0,95.723328103,348050,348004,,8/19/2025 11:42:25 AM,132.110832508052
107,703592,3316,COUNTRY CLUB,CRES, ,COUNTRY CLUB CRES,440,440,429,451,0,LOCAL,OPEN,MISS,0,0,124.0973197381,350390,703591,7/10/2006 10:39:31 AM,8/19/2025 11:53:13 AM,171.358955106635
108,361203,2800,APPLE,LANE, ,APPLE LANE,434,484,461,473,0,LOCAL,OPEN,MISS,0,0,193.4868127191,350390,350281,,8/19/2025 11:42:22 AM,266.740180522891
109,354934,4007,KELLY,RD, ,KELLY RD,1354,1364,1343,1349,0,LOCAL,OPEN,MISS,0,0,106.0078528578,348107,348050,,8/19/2025 11:56:30 AM,146.168985533729
110,351821,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,130.6743649147,348427,348528,,8/19/2025 11:56:57 AM,179.963254698908
111,360761,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,107.0580767183,348427,348470,,8/19/2025 11:54:18 AM,147.748362172629
112,351959,106385,UNNAMED,UCOM, ,UNNAMED UCOM,,,,,0,LOCAL,OPEN,PRIV,0,0,65.7003704404,348970,348946,,8/19/2025 11:44:15 AM,90.6289357778046
113,351961,106385,UNNAMED,UCOM, ,UNNAMED UCOM,,,,,0,LOCAL,OPEN,PRIV,0,0,115.3049378188,348963,348970,,8/19/2025 11:43:36 AM,159.08240842611
114,360786,106385,UNNAMED,UCOM, ,UNNAMED UCOM,,,,,0,LOCAL,OPEN,PRIV,0,0,109.4710208274,348970,348920,,8/19/2025 11:46:49 AM,150.992866909822
115,360233,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,187.5842299623,348520,348528,,8/19/2025 11:42:49 AM,258.897682298216
116,351819,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,109.9656000432,348528,348470,,8/19/2025 11:52:31 AM,151.744263703946
117,351963,106385,UNNAMED,UCOM, ,UNNAMED UCOM,,,,,0,LOCAL,OPEN,PRIV,0,0,51.6319005282,348920,348946,,8/19/2025 11:47:36 AM,71.2453243630241
118,351962,106385,UNNAMED,UCOM, ,UNNAMED UCOM,,,,,0,LOCAL,OPEN,PRIV,0,0,117.0090554658,348920,348907,,8/19/2025 11:36:16 AM,161.434893366905
119,354944,2932,BENEDET,DR, ,BENEDET DR,2560,2560,2571,2601,0,LOCAL,OPEN,MISS,0,0,155.6846029702,347581,347514,,8/19/2025 11:34:01 AM,214.845003047441
120,361314,3041,BROOKHURST,RD, ,BROOKHURST RD,2310,2388,2309,2385,0,LOCAL,OPEN,MISS,0,0,268.6874063058,348479,348367,,8/19/2025 11:52:37 AM,370.848648580652
121,361348,3951,INVERHOUSE,DR, ,INVERHOUSE DR,804,850,819,851,0,LOCAL,OPEN,MISS,0,0,203.4943665524,349508,349391,,8/19/2025 11:40:05 AM,280.541782421257
122,361347,2979,BONNYMEDE,DR, ,BONNYMEDE DR,1770,1932,1781,1933,0,LOCAL,OPEN,MISS,0,0,435.2822097474,349508,349391,,8/19/2025 11:42:03 AM,600.463541454812
123,404106,106385,UNNAMED,UCOM, ,UNNAMED UCOM,,,,,0,LOCAL,OPEN,PRIV,0,0,45.0006805953,349152,404105,4/2/2004 9:12:54 AM,8/19/2025 11:26:55 AM,62.0929471538977
124,362716,106385,UNNAMED,UCOM, ,UNNAMED UCOM,,,,,0,LOCAL,OPEN,PRIV,0,0,65.8824043353,348946,348907,,8/19/2025 11:38:03 AM,90.8825016531481
125,351964,106385,UNNAMED,UCOM, ,UNNAMED UCOM,,,,,0,LOCAL,OPEN,PRIV,0,0,52.4250327403,348946,348963,,8/19/2025 11:27:15 AM,72.3271695222555
126,355009,3622,FLETCHER VALLEY,CRES, ,FLETCHER VALLEY CRES,818,984,801,983,0,LOCAL,OPEN,MISS,0,0,587.6522074478,349644,349717,,8/19/2025 11:55:20 AM,810.342100962024
127,355010,4492,ORR,RD, ,ORR RD,1800,1800,1795,1833,0,MNRCOL,OPEN,MISS,0,0,213.3846744922,349790,349717,,8/19/2025 11:47:23 AM,294.463752618093
128,352683,4973,SOUTHDOWN,RD, ,SOUTHDOWN RD,930,980,985,997,0,ART,OPEN,MISS,0,0,167.1091515148,349152,349075,,8/19/2025 11:26:29 AM,230.529176662664
129,354949,4187,LUNDIGAN,DR, ,LUNDIGAN DR,2534,2630,2565,2633,0,LOCAL,OPEN,MISS,0,0,309.9384281796,347895,347700,,8/19/2025 11:43:49 AM,427.380736523674
130,360232,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,84.0578802472,348470,348520,,8/19/2025 11:47:50 AM,115.987098892075
131,351960,106385,UNNAMED,UCOM, ,UNNAMED UCOM,,,,,0,LOCAL,OPEN,PRIV,0,0,117.0854143541,348907,348963,,8/19/2025 11:50:12 AM,161.507395153144
132,703593,3316,COUNTRY CLUB,CRES, ,COUNTRY CLUB CRES,,,,,0,LOCAL,OPEN,MISS,0,0,19.6781798193,703591,350421,7/10/2006 10:39:31 AM,8/19/2025 11:29:21 AM,27.1424083144183
133,703602,3316,COUNTRY CLUB,CRES, ,COUNTRY CLUB CRES,,,461,471,0,LOCAL,OPEN,MISS,0,0,79.0980382372,703591,703599,7/11/2006 1:02:39 PM,8/19/2025 11:46:13 AM,109.107401356885
134,703600,3316,COUNTRY CLUB,CRES, ,COUNTRY CLUB CRES,,,,,0,LOCAL,OPEN,MISS,0,0,19.2153893533,350421,703599,7/11/2006 1:01:21 PM,8/19/2025 11:54:43 AM,26.5037772796202
135,362496,4275,MEADOW WOOD,RD, ,MEADOW WOOD RD,450,620,453,593,0,LOCAL,OPEN,MISS,0,0,619.1574276079,350421,350126,,8/19/2025 11:57:13 AM,853.481852310235
136,703601,3316,COUNTRY CLUB,CRES, ,COUNTRY CLUB CRES,482,482,481,481,0,LOCAL,OPEN,MISS,0,0,123.4869280852,703599,370910,7/11/2006 1:01:21 PM,8/19/2025 11:52:55 AM,170.535310596359
137,354943,2932,BENEDET,DR, ,BENEDET DR,,,2529,2543,0,LOCAL,OPEN,MISS,0,0,90.2419229959,347623,347581,,8/19/2025 11:33:23 AM,124.53414374745
